slug,name,date,distance,elevation,city,country,corrected_distance,corrected_name,corrected_date,corrected_elevation,corrected_city,corrected_country
bastogne-wiltz-bastogne-2024,"Bastogne - Wiltz - Bastogne","29/12/2024","72km","","Bastogne","Belgium",,,,,,
de-warmste-loop-the-warmest-run-2024,"De Warmste Loop - The Warmest Run","30/11/2024","8h","","Wingene","Belgium",,,,,,
the-bello-gallico-trail-50mi-2024,"The Bello Gallico Trail 50mi","15/12/2024","50mi","","Oud-Heverlee","Belgium",,,,,,
the-bello-gallico-trail-100mi-2024,"The Bello Gallico Trail 100mi","14/12/2024","100mi","","Oud-Heverlee","Belgium",,,,,,
olne-spa-olne-2024,"Olne-Spa-Olne","24/11/2024","71km","","Olne","Belgium",,,,,,
de-wase-halve-en-ultra-marathon-2024,"De Wase (Halve en Ultra) Marathon","17/11/2024","63km","","Sinaai","Belgium",,,,,,
bear-trail-83-km-2024,"Bear Trail 83 Km","26/10/2024","83km","","Voeren","Belgium",,,,,,
6-hour-winter-challenge-of-hamme-2024,"6 hour Winter Challenge of Hamme","23/11/2024","6h","","Hamme","Belgium",,,,,,
grand-trail-des-lacs-et-ch-teaux-winter-2024,"Grand Trail des Lacs et Châteaux Winter","09/11/2024","66km","","Ovifat","Belgium",,,,,,
bear-trail-58-km-2024,"Bear Trail 58 Km","26/10/2024","58km","","Voeren","Belgium",,,,,,
clash-der-titanen-60-2024,"Clash Der Titanen 60","05/10/2024","61km","","Wezemaal","Belgium",,,,,,
clash-der-titanen-110-2024,"Clash Der Titanen 110","05/10/2024","115km","","Wezemaal","Belgium",,,,,,
clash-der-titanen-160-2024,"Clash Der Titanen 160","05/10/2024","162km","","Wezemaal","Belgium",,,,,,
trail-de-l-abbaye-2024,"Trail de L'Abbaye","05/10/2024","50km","","Villers-la-Ville","Belgium",,,,,,
grizzly100-2024,"Grizzly100","26/10/2024","100km","","s'Gravenvoeren","Belgium",,,,,,
l-ultra-by-huyfortrail-2024,"L'Ultra by HuyForTrail","22/09/2024","67km","","Bas-Oha","Belgium",,,,,,
kjir-ne-ki-were-12u-2024,"Kjir ne ki were 12u","07/09/2024","12h","","Dentergem","Belgium",,,,,,
60-km-van-schoten-2024,"60 km van Schoten","25/08/2024","60km","","Schoten","Belgium",,,,,,
trail-des-f-es-2024,"Trail des Fées","21/09/2024","55km","","Bertrix","Belgium",,,,,,
trail-des-fantomes-68km-2024,"Trail des Fantomes 68km","10/08/2024","68km","","La Roche-en-Ardenne","Belgium",,,,,,
la-chouffe-trail-70km-2024,"La Chouffe Trail 70km","06/07/2024","70km","","Houffalize","Belgium",,,,,,
6-uur-van-aalter-2024,"6 uur van Aalter","14/07/2024","6h","","Aalter","Belgium",,,,,,
festival-trail-semois-2024,"Festival Trail Semois","06/07/2024","70km","","Herbeumont","Belgium",,,,,,
trail-des-fantomes-48km-2024,"Trail des Fantomes 48km","10/08/2024","48km","","La Roche-en-Ardenne","Belgium",,,,,,
la-chouffe-trail-51km-2024,"La Chouffe Trail 51km","06/07/2024","51km","","Houffalize","Belgium",,,,,,
antwerp-backyard-ultra-2024,"Antwerp Backyard Ultra","28/06/2024","46h","","Schelle","Belgium",,,,,,
haute-ardenne-ultra-trail-2024,"Haute Ardenne Ultra Trail","22/06/2024","50km","","Trois-Ponts","Belgium",,,,,,
mini-medium-and-megatornado-2024,"Mini Medium and MegaTornado","30/06/2024","100km","","Silly","Belgium",,,,,,
trail-godefroy-bouillon-2024,"Trail Godefroy Bouillon","15/06/2024","104km","","Bouillon","Belgium",,,,,,
another-one-bites-the-dust-2024,"Another One Bites the Dust","28/06/2024","32h","","Bierbeek","Belgium",,,,,,
trail-godefroy-bouillon-2024,"Trail Godefroy Bouillon","15/06/2024","80km","","Bouillon","Belgium",,,,,,
ohm-trail-ultra-2024,"Ohm Trail - Ultra","02/06/2024","80km","","Aywaille","Belgium",,,,,,
trail-godefroy-bouillon-2024,"Trail Godefroy Bouillon","15/06/2024","50km","","Bouillon","Belgium",,,,,,
the-longest-day-50km-2024,"The Longest Day 50km","08/06/2024","50km","","Spa","Belgium",,,,,,
ohm-trail-xl-2024,"Ohm Trail - XL","02/06/2024","55km","","Aywaille","Belgium",,,,,,
la-balade-du-gendarme-2024,"La Balade du Gendarme","19/05/2024","102km","","Landenne","Belgium",,,,,,
until-the-end-backyard-ultra-2024,"Until the End - Backyard Ultra","04/05/2024","32h","","Spa","Belgium",,,,,,
6-uur-challenge-van-hamme-2024,"6 uur Challenge van Hamme","11/05/2024","6h","","Hamme","Belgium",,,,,,
trail-de-chimay-2024,"Trail de Chimay","11/05/2024","50km","","Bourlers","Belgium",,,,,,
grand-trail-des-lacs-et-ch-teaux-85km-2024,"Grand Trail des Lacs et Châteaux 85km","19/05/2024","85km","","Ovifat","Belgium",,,,,,
legends-backyard-ultra-2024,"Legends Backyard Ultra","20/04/2024","53h","","Kasterlee","Belgium",,,,,,
l-a-t-legends-ardennes-trail-100km-2024,"L.A.T Legends Ardennes Trail 100km","27/04/2024","107km","","Nisramont","Belgium",,,,,,
trail-des-cisterciens-2024,"Trail des Cisterciens","07/04/2024","67km","","Court-St-Etienne","Belgium",,,,,,
l-a-t-legends-ardennes-trail-60km-2024,"L.A.T Legends Ardennes Trail 60km","27/04/2024","62km","","Lamormenil","Belgium",,,,,,
tdi-trail-des-idylles-2024,"TDI (Trail des Idylles)","13/04/2024","52.4km","","Malmedy / Chodes","Belgium",,,,,,
lathare-trail-48-km-2024,"LaThareé Trail  48 km","16/03/2024","48km","","Rettigny","Belgium",,,,,,
endurance-day-hamme-50-mi-2024,"Endurance Day Hamme 50 mi","17/03/2024","50mi","","Hamme","Belgium",,,,,,
lathare-trail-55-km-2024,"LaThareé Trail  55 km","16/03/2024","55km","","Rettigny","Belgium",,,,,,
endurance-day-hamme-50-km-2024,"Endurance Day Hamme 50 km","17/03/2024","50km","","Hamme","Belgium",,,,,,
endurance-day-hamme-100-km-2024,"Endurance Day Hamme 100 km","17/03/2024","100km","","Hamme","Belgium",,,,,,
mad-elf-run-2024,"Mad Elf Run","17/02/2024","49km","","Aywaille","Belgium",,,,,,
trail-de-la-siberie-50km-2024,"Trail de la Siberie - 50km","24/02/2024","52km","","Profondeville","Belgium",,,,,,
muziekbos-trail-64-km-2024,"Muziekbos Trail - 64 km","11/02/2024","64km","","Ronse","Belgium",,,,,,
trail-de-la-siberie-100km-2024,"Trail de la Siberie - 100km","24/02/2024","101km","","Profondeville","Belgium",,,,,,
trail-de-la-siberie-75km-2024,"Trail de la Siberie - 75km","24/02/2024","76km","","Profondeville","Belgium",,,,,,
muziekbos-trail-45-km-2024,"Muziekbos Trail - 45 km","11/02/2024","45km","","Ronse","Belgium",,,,,,
bostrails-aalter-2024,"Bostrails Aalter","20/01/2024","47km","","Aalter","Belgium",,,,,,
trailmarathon-het-leen-2024,"Trailmarathon Het Leen","10/02/2024","45km","","Eeklo","Belgium",,,,,,
houffatrail-65km-2024,"Houffatrail 65km","21/01/2024","65km","","Houffalize","Belgium",,,,,,
houffatrail-50km-2024,"Houffatrail 50km","21/01/2024","50km","","Houffalize","Belgium",,,,,,
bastogne-wiltz-bastogne-50km-2025,"Bastogne - Wiltz - Bastogne 50km","28/12/2025","50km","","Bastogne","Belgium",,,,,,
bastogne-wiltz-bastogne-70km-2025,"Bastogne - Wiltz - Bastogne 70km","28/12/2025","70km","","Bastogne","Belgium",,,,,,
meerdaalwoud-trail-2025,"Meerdaalwoud Trail","20/12/2025","50km","","Bierbeek","Belgium",,,,,,
trail-du-bw-62km-2025,"Trail du BW - 62km","07/12/2025","62km","","Grez-Doiceau","Belgium",,,,,,
trail-du-bw-84km-2025,"Trail du BW - 84km","07/12/2025","84km","","Grez-Doiceau","Belgium",,,,,,
de-wase-ultra-marathon-2025,"De Wase (Ultra) Marathon","26/10/2025","58km","","Sinaai","Belgium",,,,,,
trail-de-la-soupe-2025,"Trail de la Soupe","30/11/2025","45km","","La-Roche-en-Ardenne","Belgium",,,,,,
de-warmste-loop-the-warmest-run-2025,"De Warmste Loop - The Warmest Run","30/11/2025","8h","","Wingene","Belgium",,,,,,
grand-trail-des-lacs-et-ch-teaux-winter-2025,"Grand Trail des Lacs et Châteaux Winter","08/11/2025","66km","","Ovifat","Belgium",,,,,,
olne-spa-olne-2025,"Olne-Spa-Olne","23/11/2025","71km","","Olne","Belgium",,,,,,
clash-der-titanen-120-2025,"Clash Der Titanen 120","11/10/2025","123km","","Wezemaal","Belgium",,,,,,
clash-der-titanen-60-2025,"Clash Der Titanen 60","11/10/2025","64km","","Wezemaal","Belgium",,,,,,
